ticker,company_name,cik,sector,industry,ir_url,enabled
BK,Bank of New York Mellon,0001390777,Financials,Asset Management & Custody Banks,,true
BA,Boeing,0000012927,Industrials,Aerospace & Defense,,true
BKNG,Booking Holdings,0001075531,Consumer Discretionary,Internet & Direct Marketing Retail,,true
BSX,Boston Scientific,0000885725,Health Care,Health Care Equipment,,true
BMY,Bristol-Myers Squibb,0000014272,Health Care,Pharmaceuticals,,true
AVGO,Broadcom,0001730168,Information Technology,Semiconductors,,true
BR,Broadridge Financial,0001383312,Information Technology,Data Processing & Outsourced Services,,true
BRO,Brown & Brown,0000079879,Financials,Insurance Brokers,,true
BF.B,Brown-Forman,0000014693,Consumer Staples,Distillers & Vintners,,true
BLDR,Builders FirstSource,0001316928,Industrials,Building Products,,true
BG,Bunge Global,0001144519,Consumer Staples,Agricultural Products,,true
CDNS,Cadence Design Systems,0000813672,Information Technology,EDA,,true
CZR,Caesars Entertainment,0000858339,Consumer Discretionary,Casinos & Gaming,,true
CPT,Camden Property Trust,0000906163,Real Estate,Residential REITs,,true
CPB,Campbell Soup,0000016732,Consumer Staples,Packaged Foods & Meats,,true
COF,Capital One Financial,0000927628,Financials,Consumer Finance,,true
CAH,Cardinal Health,0000721371,Health Care,Health Care Distributors,,true
KMX,CarMax,0001170010,Consumer Discretionary,Automotive Retail,,true
CCL,Carnival,0000723254,Consumer Discretionary,Hotels Resorts & Cruise Lines,,true
CARR,Carrier Global,0001783398,Industrials,Building Products,,true
CTLT,Catalent,0001380106,Health Care,Pharmaceuticals,,true
CAT,Caterpillar,0000018230,Industrials,Construction Machinery & Heavy Trucks,,true
CBOE,Cboe Global Markets,0001374310,Financials,Financial Exchanges & Data,,true
CBRE,CBRE Group,0001138118,Real Estate,Real Estate Services,,true
CDW,CDW Corporation,0001467492,Information Technology,Technology Distributors,,true
CE,Celanese,0000811156,Materials,Commodity Chemicals,,true
COR,Cencora,0001000697,Health Care,Health Care Distributors,,true
CNC,Centene,0001071739,Health Care,Managed Health Care,,true
CNP,CenterPoint Energy,0001130310,Utilities,Multi-Utilities,,true
CF,CF Industries,0001324789,Materials,Fertilizers & Agricultural Chemicals,,true
CRL,Charles River Laboratories,0001100682,Health Care,Life Sciences Tools & Services,,true
SCHW,Charles Schwab,0000316206,Financials,Investment Banking & Brokerage,,true
CHTR,Charter Communications,0001091907,Communication Services,Cable & Satellite,,true
CVX,Chevron,0000093410,Energy,Integrated Oil & Gas,,true
CMG,Chipotle Mexican Grill,0001058090,Consumer Discretionary,Restaurants,,true
CB,Chubb,0000896159,Financials,Property & Casualty Insurance,,true
CHD,Church & Dwight,0000313927,Consumer Staples,Household Products,,true
CI,Cigna Group,0001739940,Health Care,Managed Health Care,,true
CINF,Cincinnati Financial,0000020286,Financials,Property & Casualty Insurance,,true
CTAS,Cintas,0000723254,Industrials,Diversified Support Services,,true
CSCO,Cisco Systems,0000858877,Information Technology,Communications Equipment,,true
C,Citigroup,0000831001,Financials,Diversified Banks,,true
CFG,Citizens Financial Group,0001378946,Financials,Regional Banks,,true
CLX,Clorox,0000021076,Consumer Staples,Household Products,,true
CME,CME Group,0001156375,Financials,Financial Exchanges & Data,,true
CMS,CMS Energy,0000811156,Utilities,Multi-Utilities,,true
KO,Coca-Cola,0000021344,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,,true
CTSH,Cognizant Technology Solutions,0001058290,Information Technology,IT Consulting & Other Services,,true
CL,Colgate-Palmolive,0000021665,Consumer Staples,Household Products,,true
CMCSA,Comcast,0001166691,Communication Services,Cable & Satellite,,true
CMA,Comerica,0000028412,Financials,Regional Banks,,true
CAG,Conagra Brands,0000023217,Consumer Staples,Packaged Foods & Meats,,true
COP,ConocoPhillips,0001163165,Energy,Oil & Gas Exploration & Production,,true
ED,Consolidated Edison,0001047862,Utilities,Electric Utilities,,true
STZ,Constellation Brands,0000016160,Consumer Staples,Distillers & Vintners,,true
CEG,Constellation Energy,0001868275,Utilities,Electric Utilities,,true
COO,Cooper Companies,0000723254,Health Care,Health Care Equipment,,true
CPRT,Copart,0000723254,Industrials,Diversified Support Services,,true
GLW,Corning,0000024741,Information Technology,Electronic Components,,true
CTVA,Corteva,0001755672,Materials,Fertilizers & Agricultural Chemicals,,true
CSGP,CoStar Group,0001057054,Real Estate,Real Estate Services,,true
COST,Costco Wholesale,0000909832,Consumer Staples,Hypermarkets & Super Centers,,true
CTRA,Coterra Energy,0000858470,Energy,Oil & Gas Exploration & Production,,true
CCI,Crown Castle,0001051512,Real Estate,Telecom Tower REITs,,true
CSX,CSX,0000277948,Industrials,Railroads,,true
CMI,Cummins,0000026172,Industrials,Industrial Machinery,,true
CVS,CVS Health,0000064803,Health Care,Health Care Services,,true
DHR,Danaher,0000313616,Health Care,Life Sciences Tools & Services,,true
DRI,Darden Restaurants,0000940944,Consumer Discretionary,Restaurants,,true
DVA,DaVita,0000927066,Health Care,Health Care Services,,true
DECK,Deckers Outdoor,0000879635,Consumer Discretionary,Footwear,,true
DE,Deere & Company,0000315189,Industrials,Agricultural Machinery,,true
DAL,Delta Air Lines,0000027904,Industrials,Airlines,,true
XRAY,Dentsply Sirona,0000818479,Health Care,Health Care Supplies,,true
DVN,Devon Energy,0001090012,Energy,Oil & Gas Exploration & Production,,true
DXCM,DexCom,0001093557,Health Care,Health Care Equipment,,true
FANG,Diamondback Energy,0001539838,Energy,Oil & Gas Exploration & Production,,true
DLR,Digital Realty Trust,0001297996,Real Estate,Data Center REITs,,true
DFS,Discover Financial Services,0001393612,Financials,Consumer Finance,,true
DLTR,Dollar Tree,0000935703,Consumer Staples,General Merchandise Stores,,true
D,Dominion Energy,0000715072,Utilities,Electric Utilities,,true
DPZ,Domino's Pizza,0001286681,Consumer Discretionary,Restaurants,,true
DOV,Dover,0000029905,Industrials,Industrial Machinery,,true
DOW,Dow,0001751788,Materials,Commodity Chemicals,,true
DHI,D.R. Horton,0000045012,Consumer Discretionary,Homebuilding,,true
DTE,DTE Energy,0000028385,Utilities,Multi-Utilities,,true
DUK,Duke Energy,0001326160,Utilities,Electric Utilities,,true
DD,DuPont de Nemours,0001755672,Materials,Specialty Chemicals,,true
DXC,DXC Technology,0001688568,Information Technology,IT Consulting & Other Services,,true
EMN,Eastman Chemical,0000915389,Materials,Specialty Chemicals,,true
ETN,Eaton,0000031462,Industrials,Electrical Components & Equipment,,true
EBAY,eBay,0001065088,Consumer Discretionary,Internet & Direct Marketing Retail,,true
ECL,Ecolab,0000031235,Materials,Specialty Chemicals,,true
EIX,Edison International,0000827054,Utilities,Electric Utilities,,true
EW,Edwards Lifesciences,0001099800,Health Care,Health Care Equipment,,true
EA,Electronic Arts,0000712034,Communication Services,Interactive Home Entertainment,,true
ELV,Elevance Health,0001156039,Health Care,Managed Health Care,,true
LLY,Eli Lilly,0000059478,Health Care,Pharmaceuticals,,true
EMR,Emerson Electric,0000032604,Industrials,Electronic Equipment & Instruments,,true
ENPH,Enphase Energy,0001463101,Information Technology,Semiconductor Equipment,,true
ETR,Entergy,0000049600,Utilities,Electric Utilities,,true
EOG,EOG Resources,0000821189,Energy,Oil & Gas Exploration & Production,,true
EPAM,EPAM Systems,0001352010,Information Technology,IT Consulting & Other Services,,true
EQT,EQT Corporation,0000033213,Energy,Oil & Gas Exploration & Production,,true
EFX,Equifax,0000033185,Industrials,Research & Consulting Services,,true
EQIX,Equinix,0001101239,Real Estate,Data Center REITs,,true
EQR,Equity Residential,0000906107,Real Estate,Residential REITs,,true
ESS,Essex Property Trust,0000920522,Real Estate,Residential REITs,,true
EL,Estee Lauder,0001001250,Consumer Staples,Personal Products,,true
ETSY,Etsy,0001370637,Consumer Discretionary,Internet & Direct Marketing Retail,,true
EVRG,Evergy,0001711269,Utilities,Electric Utilities,,true
ES,Eversource Energy,0000072741,Utilities,Multi-Utilities,,true
EXC,Exelon,0001109357,Utilities,Electric Utilities,,true
EXPE,Expedia Group,0001324424,Consumer Discretionary,Internet & Direct Marketing Retail,,true
EXPD,Expeditors International,0000765880,Industrials,Air Freight & Logistics,,true
EXR,Extra Space Storage,0001289490,Real Estate,Storage REITs,,true
XOM,Exxon Mobil,0000034088,Energy,Integrated Oil & Gas,,true
FFIV,F5,0001048695,Information Technology,Communications Equipment,,true
FDS,FactSet Research Systems,0001013237,Financials,Financial Exchanges & Data,,true
FICO,Fair Isaac,0000814547,Information Technology,Application Software,,true
FAST,Fastenal,0000815556,Industrials,Trading Companies & Distributors,,true
FRT,Federal Realty Investment Trust,0000034903,Real Estate,Retail REITs,,true
FDX,FedEx,0001048911,Industrials,Air Freight & Logistics,,true
FIS,Fidelity National Information Services,0000798354,Information Technology,Data Processing & Outsourced Services,,true
FITB,Fifth Third Bancorp,0000035527,Financials,Regional Banks,,true
FSLR,First Solar,0001274494,Information Technology,Semiconductor Equipment,,true
FE,FirstEnergy,0001109357,Utilities,Electric Utilities,,true
FI,Fiserv,0000798354,Information Technology,Data Processing & Outsourced Services,,true
FLT,FleetCor Technologies,0001175922,Information Technology,Data Processing & Outsourced Services,,true
FMC,FMC Corporation,0000037785,Materials,Fertilizers & Agricultural Chemicals,,true
F,Ford Motor,0000037996,Consumer Discretionary,Automobile Manufacturers,,true
FTNT,Fortinet,0001262039,Information Technology,Systems Software,,true
FTV,Fortive,0001659166,Industrials,Electronic Equipment & Instruments,,true
FOXA,Fox Corporation (Class A),0001754301,Communication Services,Broadcasting,,true
BEN,Franklin Resources,0000038777,Financials,Asset Management & Custody Banks,,true
FCX,Freeport-McMoRan,0000831259,Materials,Copper,,true
GRMN,Garmin,0001121788,Consumer Discretionary,Consumer Electronics,,true
IT,Gartner,0000749251,Information Technology,IT Consulting & Other Services,,true
GEHC,GE HealthCare,0001878099,Health Care,Health Care Equipment,,true
GEN,Gen Digital,0000849399,Information Technology,Systems Software,,true
GNRC,Generac Holdings,0001474735,Industrials,Electrical Components & Equipment,,true
GD,General Dynamics,0000040533,Industrials,Aerospace & Defense,,true
GE,GE Aerospace,0000040534,Industrials,Aerospace & Defense,,true
GIS,General Mills,0000040704,Consumer Staples,Packaged Foods & Meats,,true
GM,General Motors,0001467858,Consumer Discretionary,Automobile Manufacturers,,true
GPC,Genuine Parts,0000040987,Consumer Discretionary,Distributors,,true
GILD,Gilead Sciences,0000882184,Health Care,Biotechnology,,true
GPN,Global Payments,0001123360,Information Technology,Data Processing & Outsourced Services,,true
GL,Globe Life,0000098752,Financials,Life & Health Insurance,,true
GS,Goldman Sachs Group,0000886982,Financials,Investment Banking & Brokerage,,true
HAL,Halliburton,0000045012,Energy,Oil & Gas Equipment & Services,,true
HIG,Hartford Financial Services,0000874766,Financials,Property & Casualty Insurance,,true
HAS,Hasbro,0000046080,Consumer Discretionary,Leisure Products,,true
HCA,HCA Healthcare,0000860730,Health Care,Health Care Facilities,,true
PEAK,Healthpeak Properties,0000765880,Real Estate,Health Care REITs,,true
HSIC,Henry Schein,0001000228,Health Care,Health Care Distributors,,true
HES,Hess,0000004447,Energy,Oil & Gas Exploration & Production,,true
HPE,Hewlett Packard Enterprise,0001645590,Information Technology,Technology Hardware Storage & Peripherals,,true
HLT,Hilton Worldwide Holdings,0001585389,Consumer Discretionary,Hotels Resorts & Cruise Lines,,true
HOLX,Hologic,0000859737,Health Care,Health Care Equipment,,true
HD,Home Depot,0000354950,Consumer Discretionary,Home Improvement Retail,,true
HON,Honeywell International,0000773840,Industrials,Industrial Conglomerates,,true
HRL,Hormel Foods,0000048102,Consumer Staples,Packaged Foods & Meats,,true
HST,Host Hotels & Resorts,0001070750,Real Estate,Hotel & Resort REITs,,true
HWM,Howmet Aerospace,0000004281,Industrials,Aerospace & Defense,,true
HPQ,HP,0000047217,Information Technology,Technology Hardware Storage & Peripherals,,true
HUBB,Hubbell,0000048898,Industrials,Electrical Components & Equipment,,true
HUM,Humana,0000049071,Health Care,Managed Health Care,,true
HBAN,Huntington Bancshares,0000049196,Financials,Regional Banks,,true
HII,Huntington Ingalls Industries,0001501585,Industrials,Aerospace & Defense,,true
IBM,IBM,0000051143,Information Technology,IT Consulting & Other Services,,true
IEX,IDEX Corporation,0000832101,Industrials,Industrial Machinery,,true
IDXX,Idexx Laboratories,0000874716,Health Care,Health Care Equipment,,true
ITW,Illinois Tool Works,0000049826,Industrials,Industrial Machinery,,true
ILMN,Illumina,0001110803,Health Care,Life Sciences Tools & Services,,true
INCY,Incyte,0000879169,Health Care,Biotechnology,,true
IR,Ingersoll Rand,0001466258,Industrials,Industrial Machinery,,true
PODD,Insulet Corporation,0001145986,Health Care,Health Care Equipment,,true
INTC,Intel,0000050863,Information Technology,Semiconductors,,true
ICE,Intercontinental Exchange,0001571949,Financials,Financial Exchanges & Data,,true
IFF,International Flavors & Fragrances,0000049519,Materials,Specialty Chemicals,,true
IP,International Paper,0000049826,Materials,Paper Products,,true
IPG,Interpublic Group of Companies,0000397187,Communication Services,Advertising,,true
INTU,Intuit,0000896878,Information Technology,Application Software,,true
ISRG,Intuitive Surgical,0001035267,Health Care,Health Care Equipment,,true
IVZ,Invesco,0000914208,Financials,Asset Management & Custody Banks,,true
INVH,Invitation Homes,0001687229,Real Estate,Residential REITs,,true
IQV,IQVIA Holdings,0001478930,Health Care,Life Sciences Tools & Services,,true
IRM,Iron Mountain,0001020569,Real Estate,Storage REITs,,true
JBHT,J.B. Hunt Transport Services,0000728535,Industrials,Trucking,,true
JKHY,Jack Henry & Associates,0000896429,Information Technology,Data Processing & Outsourced Services,,true
J,Jacobs Solutions,0000052988,Industrials,Research & Consulting Services,,true
JNJ,Johnson & Johnson,0000200406,Health Care,Pharmaceuticals,,true
JCI,Johnson Controls International,0001442145,Industrials,Building Products,,true
JPM,JPMorgan Chase,0000019617,Financials,Diversified Banks,,true
JNPR,Juniper Networks,0001043604,Information Technology,Communications Equipment,,true
K,Kellanova,0000055529,Consumer Staples,Packaged Foods & Meats,,true
KVUE,Kenvue,0001916862,Consumer Staples,Personal Products,,true
KDP,Keurig Dr Pepper,0001418135,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,,true
KEY,KeyCorp,0000091576,Financials,Regional Banks,,true
KEYS,Keysight Technologies,0001601712,Information Technology,Electronic Equipment & Instruments,,true
KMB,Kimberly-Clark,0000055607,Consumer Staples,Household Products,,true
KIM,Kimco Realty,0000879585,Real Estate,Retail REITs,,true
KMI,Kinder Morgan,0001110805,Energy,Oil & Gas Storage & Transportation,,true
KLAC,KLA Corporation,0000319201,Information Technology,Semiconductor Equipment,,true
KHC,Kraft Heinz,0001637459,Consumer Staples,Packaged Foods & Meats,,true
KR,Kroger,0000056873,Consumer Staples,Food Retail,,true
LHX,L3Harris Technologies,0001039101,Industrials,Aerospace & Defense,,true
LH,Laboratory Corporation of America,0000920148,Health Care,Health Care Services,,true
LRCX,Lam Research,0000707549,Information Technology,Semiconductor Equipment,,true
LW,Lamb Weston Holdings,0001679273,Consumer Staples,Packaged Foods & Meats,,true
LVS,Las Vegas Sands,0001300514,Consumer Discretionary,Casinos & Gaming,,true
LDOS,Leidos Holdings,0001336920,Industrials,Research & Consulting Services,,true
LEN,Lennar,0000920760,Consumer Discretionary,Homebuilding,,true
LIN,Linde,0001707092,Materials,Industrial Gases,,true
LYV,Live Nation Entertainment,0001335258,Communication Services,Movies & Entertainment,,true
LKQ,LKQ Corporation,0001065696,Consumer Discretionary,Distributors,,true
LMT,Lockheed Martin,0000936468,Industrials,Aerospace & Defense,,true
L,Loews,0000060714,Financials,Multi-line Insurance,,true
LOW,Lowe's Companies,0000060667,Consumer Discretionary,Home Improvement Retail,,true
LULU,Lululemon Athletica,0001397187,Consumer Discretionary,Apparel Retail,,true
LYB,LyondellBasell Industries,0001489393,Materials,Commodity Chemicals,,true
MTB,M&T Bank,0000036270,Financials,Regional Banks,,true
MRO,Marathon Oil,0000101778,Energy,Oil & Gas Exploration & Production,,true
MPC,Marathon Petroleum,0001510295,Energy,Oil & Gas Refining & Marketing,,true
MKTX,MarketAxess Holdings,0001278021,Financials,Financial Exchanges & Data,,true
MAR,Marriott International,0001048268,Consumer Discretionary,Hotels Resorts & Cruise Lines,,true
MMC,Marsh & McLennan,0000062234,Financials,Insurance Brokers,,true
MLM,Martin Marietta Materials,0000916076,Materials,Construction Materials,,true
MAS,Masco,0000062996,Industrials,Building Products,,true
MA,Mastercard,0001141391,Information Technology,Data Processing & Outsourced Services,,true
MTCH,Match Group,0001575189,Communication Services,Interactive Media & Services,,true
MKC,McCormick & Company,0000063754,Consumer Staples,Packaged Foods & Meats,,true
MCD,McDonald's,0000063754,Consumer Discretionary,Restaurants,,true
MCK,McKesson,0000927653,Health Care,Health Care Distributors,,true
MDT,Medtronic,0001613103,Health Care,Health Care Equipment,,true
MRK,Merck & Co,0000310158,Health Care,Pharmaceuticals,,true
META,Meta Platforms,0001326801,Communication Services,Interactive Media & Services,,true
MET,MetLife,0001099219,Financials,Life & Health Insurance,,true
MTD,Mettler-Toledo International,0001037646,Health Care,Life Sciences Tools & Services,,true
MGM,MGM Resorts International,0000789570,Consumer Discretionary,Casinos & Gaming,,true
MCHP,Microchip Technology,0000827054,Information Technology,Semiconductors,,true
MU,Micron Technology,0000723125,Information Technology,Semiconductors,,true
MSFT,Microsoft,0000789019,Information Technology,Systems Software,,true
MAA,Mid-America Apartment Communities,0000912752,Real Estate,Residential REITs,,true
MRNA,Moderna,0001682852,Health Care,Biotechnology,,true
MHK,Mohawk Industries,0000851968,Consumer Discretionary,Home Furnishings,,true
MOH,Molina Healthcare,0001179929,Health Care,Managed Health Care,,true
TAP,Molson Coors Beverage,0000024545,Consumer Staples,Brewers,,true
MDLZ,Mondelez International,0001418135,Consumer Staples,Packaged Foods & Meats,,true
MPWR,Monolithic Power Systems,0001280452,Information Technology,Semiconductors,,true
MNST,Monster Beverage,0000865752,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,,true
MCO,Moody's Corporation,0001059556,Financials,Financial Exchanges & Data,,true
MS,Morgan Stanley,0000895421,Financials,Investment Banking & Brokerage,,true
MOS,Mosaic,0001285785,Materials,Fertilizers & Agricultural Chemicals,,true
MSI,Motorola Solutions,0000068505,Information Technology,Communications Equipment,,true
MSCI,MSCI,0001408198,Financials,Financial Exchanges & Data,,true
NDAQ,Nasdaq,0001120193,Financials,Financial Exchanges & Data,,true
NTAP,NetApp,0001014473,Information Technology,Technology Hardware Storage & Peripherals,,true
NFLX,Netflix,0001065280,Communication Services,Movies & Entertainment,,true
NEM,Newmont,0000016169,Materials,Gold,,true
NWSA,News Corp (Class A),0001564708,Communication Services,Publishing,,true
NEE,NextEra Energy,0000753308,Utilities,Electric Utilities,,true
NKE,Nike,0000320187,Consumer Discretionary,Footwear,,true
NI,NiSource,0001111928,Utilities,Multi-Utilities,,true
NSCX,Norfolk Southern,0000702165,Industrials,Railroads,,true
NSC,Norfolk Southern,0000702165,Industrials,Railroads,,true
NTRS,Northern Trust,0000073124,Financials,Asset Management & Custody Banks,,true
NOC,Northrop Grumman,0001133421,Industrials,Aerospace & Defense,,true
NCLH,Norwegian Cruise Line Holdings,0001513761,Consumer Discretionary,Hotels Resorts & Cruise Lines,,true
NRG,NRG Energy,0001013871,Utilities,Electric Utilities,,true
NUE,Nucor,0000073309,Materials,Steel,,true
NVDA,NVIDIA,0001045810,Information Technology,Semiconductors,,true
NVR,NVR,0000906163,Consumer Discretionary,Homebuilding,,true
NXPI,NXP Semiconductors,0001413447,Information Technology,Semiconductors,,true
ORLY,O'Reilly Automotive,0000898173,Consumer Discretionary,Specialty Stores,,true
OXY,Occidental Petroleum,0000797468,Energy,Oil & Gas Exploration & Production,,true
ODFL,Old Dominion Freight Line,0000878927,Industrials,Trucking,,true
OMC,Omnicom Group,0000029989,Communication Services,Advertising,,true
ON,ON Semiconductor,0000863894,Information Technology,Semiconductors,,true
OKE,ONEOK,0000074303,Energy,Oil & Gas Storage & Transportation,,true
ORCL,Oracle,0001341439,Information Technology,Application Software,,true
OTIS,Otis Worldwide,0001781335,Industrials,Industrial Machinery,,true
PCAR,PACCAR,0000075362,Industrials,Construction Machinery & Heavy Trucks,,true
PKG,Packaging Corp of America,0000075829,Materials,Paper Products,,true
PANW,Palo Alto Networks,0001327567,Information Technology,Systems Software,,true
PARA,Paramount Global,0000813828,Communication Services,Broadcasting,,true
PH,Parker-Hannifin,0000076334,Industrials,Industrial Machinery,,true
PAYX,Paychex,0000723531,Information Technology,Data Processing & Outsourced Services,,true
PAYC,Paycom Software,0001590714,Information Technology,Application Software,,true
PYPL,PayPal Holdings,0001633917,Information Technology,Data Processing & Outsourced Services,,true
PNR,Pentair,0000077360,Industrials,Industrial Machinery,,true
PEP,PepsiCo,0000077476,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,,true
PFE,Pfizer,0000078003,Health Care,Pharmaceuticals,,true
PCG,PG&E Corporation,0001004440,Utilities,Multi-Utilities,,true
PM,Philip Morris International,0001413159,Consumer Staples,Tobacco,,true
PSX,Phillips 66,0001534992,Energy,Oil & Gas Refining & Marketing,,true
PNW,Pinnacle West Capital,0000007286,Utilities,Electric Utilities,,true
PNC,PNC Financial Services Group,0000713676,Financials,Regional Banks,,true
POOL,Pool Corporation,0000945841,Consumer Discretionary,Distributors,,true
PPG,PPG Industries,0000079879,Materials,Specialty Chemicals,,true
PPL,PPL Corporation,0000922224,Utilities,Electric Utilities,,true
PFG,Principal Financial Group,0001126328,Financials,Life & Health Insurance,,true
PG,Procter & Gamble,0000080424,Consumer Staples,Household Products,,true
PGR,Progressive,0000080661,Financials,Property & Casualty Insurance,,true
PLD,Prologis,0001045609,Real Estate,Industrial REITs,,true
PRU,Prudential Financial,0001137774,Financials,Life & Health Insurance,,true
PEG,Public Service Enterprise Group,0000081033,Utilities,Multi-Utilities,,true
PTC,PTC,0000857005,Information Technology,Application Software,,true
PSA,Public Storage,0001393311,Real Estate,Storage REITs,,true
PHM,PulteGroup,0000822818,Consumer Discretionary,Homebuilding,,true
QRVO,Qorvo,0001604778,Information Technology,Semiconductors,,true
QCOM,Qualcomm,0000804328,Information Technology,Semiconductors,,true
PWR,Quanta Services,0001050606,Industrials,Construction & Engineering,,true
REGN,Regeneron Pharmaceuticals,0000872589,Health Care,Biotechnology,,true
RF,Regions Financial,0001281761,Financials,Regional Banks,,true
RSG,Republic Services,0001060349,Industrials,Environmental & Facilities Services,,true
RMD,ResMed,0000943819,Health Care,Health Care Equipment,,true
RVTY,Revvity,0000031791,Health Care,Life Sciences Tools & Services,,true
RHI,Robert Half,0000315213,Industrials,Human Resource & Employment Services,,true
ROK,Rockwell Automation,0001024478,Industrials,Electrical Components & Equipment,,true
ROL,Rollins,0000085408,Industrials,Environmental & Facilities Services,,true
ROP,Roper Technologies,0000882184,Information Technology,Application Software,,true
ROST,Ross Stores,0000745732,Consumer Discretionary,Apparel Retail,,true
RCL,Royal Caribbean Cruises,0000884887,Consumer Discretionary,Hotels Resorts & Cruise Lines,,true
SPGI,S&P Global,0000064040,Financials,Financial Exchanges & Data,,true
CRM,Salesforce,0001108524,Information Technology,Application Software,,true
SBAC,SBA Communications,0001034054,Real Estate,Telecom Tower REITs,,true
